,east,north,depth,strike,dip,slip_m,rake,fault_name,point_index,htm_ind,zz_stress,xy_stress,xz_stress,yz_stress,xx_stress,yy_stress,tau_dd,tau_ss,sig_nn
528,583602.8453817691,3187056.3206742587,-4321.0,194.4526749835005,55.0,0.1,-90.0,,38,903,132.769416460175,-1.867826762415281,0.18779313864454258,2.294743962950786,98.83002934391229,88.89344267472498,-15.679226058461069,1.9292094349743056,109.81893721521627
529,583536.5744817491,3195727.298522165,-4387.0,194.4526749835005,55.0,0.1,-90.0,,39,903,128.39476528185577,0.7373296227583228,2.1509637720501913,1.4984782721124286,93.41389168117325,88.44902930907475,-17.332872584494346,2.65186579892208,106.08142575360034
530,583447.9564744774,3207288.755121532,-4809.0,194.4526749835005,55.0,0.1,-90.0,,40,903,116.50415635623968,2.1131207948994755,-1.0903622549306653,3.6998330009565135,89.8862861651244,87.13082417589658,-12.389908571742708,3.9597242131630375,95.98285400572172
531,590988.1405827517,3217466.357527644,-4433.0,194.4526749835005,55.0,0.1,-90.0,,41,903,119.24117711531392,-0.037754082317401266,-1.2473745779010783,0.8884722501138713,89.2970964068814,90.21229823643444,-13.54478899962345,0.10665393602068535,97.85546842324325
532,577812.5370974903,3168446.659133316,-6264.0,194.4526749835005,55.0,0.1,-90.0,,42,903,121.50311927172125,-0.2947911406386619,0.9474894334282734,-5.176408719679509,91.09440996258718,90.80307324069545,-14.98466846456077,-2.8931890610630044,103.25819460797962
533,579024.5100680414,3177126.5684335465,-6047.0,194.4526749835005,55.0,0.1,-90.0,,43,903,129.3695514995143,-0.8517587703867129,1.9824298319139628,-2.7413250612207296,95.15656530306909,86.89114751258634,-17.013885567490455,-0.21326608413705683,108.78992318491379
534,582769.707725306,3187271.0507004363,-5821.0,194.4526749835005,55.0,0.1,-90.0,,44,903,132.01790351693333,-1.0360019720254985,1.0812845987636086,2.3680660937066396,95.06910298898089,86.56829422910623,-17.529742694133418,2.4100963544791125,107.63413456628315
535,582703.436825286,3195942.0285483412,-5887.0,194.4526749835005,55.0,0.1,-90.0,,45,903,127.47119066272022,1.0922201575909503,2.011821586173592,3.1587661311441457,92.02658024045829,86.62455352399193,-17.456342084187455,3.895152582122556,104.19730239452832
536,582614.8188180143,3207503.485147708,-6309.0,194.4526749835005,55.0,0.1,-90.0,,46,903,117.03605706194384,1.913730674682151,-0.8053177549326671,3.140020328653585,89.50414220844729,87.03257387735638,-12.907969750815248,3.490408640316111,96.36862806909394
537,590155.0029262886,3217681.0875538206,-5933.0,194.4526749835005,55.0,0.1,-90.0,,47,903,120.02902829659557,0.7412555124816023,-0.8299328361064839,1.490564302438443,88.24496628488029,88.56478052586222,-14.690500799929872,1.17732965374665,97.36976768286006
538,576979.3994410271,3168661.3891594918,-7764.0,194.4526749835005,55.0,0.1,-90.0,,48,903,122.95902535268448,-0.43658951859709066,1.0425415674937988,-5.156123950920296,89.46831143910973,88.95307810045774,-16.43683573342043,-2.925673413240046,102.76441327977031
539,578191.3724115782,3177341.2984597217,-7547.0,194.4526749835005,55.0,0.1,-90.0,,49,903,129.8868914793979,-0.6641083732052312,1.9854225970006125,-2.972944239888984,91.86480412091113,85.36786031741246,-18.815199237919472,-0.557032867872008,106.82141726002183
540,581936.5700688428,3187485.780726612,-7321.0,194.4526749835005,55.0,0.1,-90.0,,50,903,131.2039308000746,-0.47989626879724834,1.334137566041735,2.133263832358739,92.3325869423356,84.95637055624098,-18.630211816364337,2.492021865203588,105.68190517651992
541,581870.2991688228,3196156.7585745174,-7387.0,194.4526749835005,55.0,0.1,-90.0,,51,903,126.88469488149154,0.9810344379692765,1.9175834106936718,3.972097163284725,90.75545560435035,85.2749392320872,-17.654420033623758,4.269214027822613,102.90769330644616
542,581781.6811615512,3207718.2151738843,-7809.0,194.4526749835005,55.0,0.1,-90.0,,52,903,118.06562023389758,1.7708618139265382,-0.2998067802816193,3.2370511649960236,88.79130848101549,86.42965206787913,-13.850106058603409,3.4924563643570847,96.71719363952025
543,589321.8652698254,3217895.817579997,-7433.0,194.4526749835005,55.0,0.1,-90.0,,53,903,120.195928033846,1.0119943416216342,-0.8869248974177417,2.1828034336115594,87.10633392253143,87.19749316595207,-15.294112769136618,1.7930731113092868,96.34906283572906
544,576146.2617845639,3168876.119185669,-9264.0,194.4526749835005,55.0,0.1,-90.0,,54,903,124.08748262949045,-0.42102971785844223,1.2568958960319614,-4.933111422043306,87.9447755144605,87.20972162181071,-17.744788900777714,-2.716444325193441,102.24187177361185
545,577358.234755115,3177556.028485899,-9047.0,194.4526749835005,55.0,0.1,-90.0,,55,903,129.84335591695898,-0.46146965491498243,1.8134370262842336,-2.8561473935207076,89.50840105414838,83.98986788253782,-19.852346137853438,-0.5651689464587273,105.0172036777798
546,581103.4324123797,3187700.5107527887,-8821.0,194.4526749835005,55.0,0.1,-90.0,,56,903,130.50143555463984,-0.1944266373161562,1.3600488488682596,1.9122863707427502,90.19345141359098,83.61604636730175,-19.374110046592257,2.419561287775017,104.03161190506262
547,581037.1615123596,3196371.4886006936,-8887.0,194.4526749835005,55.0,0.1,-90.0,,57,903,126.63092438479079,0.7834673345825044,1.8814431941918153,4.226472989346637,89.4722187556795,84.06783652206542,-18.057330537510538,4.248578863658633,101.93785766269275
548,580948.543505088,3207932.9452000614,-9309.0,194.4526749835005,55.0,0.1,-90.0,,58,903,119.10723285468255,1.5847255324413296,0.12863617442559683,3.4940689211117917,87.86861297583094,85.5312734867899,-14.850003920717569,3.558250772396004,96.83170981668812
549,588488.7276133623,3218110.547606173,-8933.0,194.4526749835005,55.0,0.1,-90.0,,59,903,120.0378029682169,1.0140370325544654,-0.9629923312243885,2.651268024682589,86.08104349608085,86.04694780463255,-15.640494839079949,2.068642879674983,95.42407685597797
682,533424.5819610232,3110925.7035187944,-729.0,226.80939193225123,40.0,0.1,-90.0,Ama Drime Detachment,132,904,117.61041981266551,4.076194237510755,2.2098791099564252,-2.22748692224264,160.0837269211074,114.13003416591847,7.427545362823864,14.640767308066328,126.47472339369645
